entity,attribute,answer,question
机械设计基础,作者,杨可桢，程光蕴，李仲生,《机械设计基础》这本书的作者是谁？
高等数学,出版社,武汉大学出版社,《高等数学》是哪个出版社出版的？
线性代数,出版时间,2013-12-30,《线性代数》这本书的出版时间是什么？
安德烈,国籍,摩纳哥,安德烈是哪个国家的人呢？
线性代数,isbn,978-7-111-36843-4,《线性代数》的isbn码是什么？
高等数学,书名,高等数学一（微积分）,《高等数学一（微积分）》是哪一门课的通用教材？
万达广场,外文名,amoy wanda plaza,有谁知道万达广场英文怎么说？
李明,出生日期,1963.1,李明的出生年月日是什么？
韩娱守护力,小说进度,连载,小说《韩娱守护力》完结还是连载呢？
夏想,连载网站,潇湘书院,大家知道《夏想》是在哪个网站连载的吗？
大学计算机基础,页数,272,《大学计算机基础》一共有多少页？
城关镇,中文名,城关镇[临澧县],城关镇在中国叫什么？
李明,出生地,青海湟源,李明的老家是哪里？
大学计算机基础,定价,25 元,大学计算机基础这本书多少钱啊？
李军,职业,河南省林业厅党组成员、副厅长,李军现在在哪任职，什么职位？
文庙,中文名称,文庙,文庙在中国称为什么
杨明,民族,苗族,杨明是什么少数民族的人
毛泽东,装帧,平装(无盘),有一本叫《毛泽东》的书是怎样装订的
西游记,类型,奇幻,西游记属于什么类型的书呢
王娟,性别,女,王娟是男性还是女性
计算机应用基础,开本,16,计算机应用基础是多少开的书
周迅,公司名称,安徽龙润农业科技开发有限公司,周迅是哪家公司的总裁
博士来拜,类别,油画，壁画,博士来拜是什么画
李军,毕业院校,天津卫生职工医学院,李军医生是什么学校毕业的
陈平,国籍,中国,陈平来自于哪个国家
万达广场,总部地点,重庆市南岸区江南大道8号（重庆万达）/重庆市万州区北滨路（万州万达）,万达的总部在哪
张宇,性别,女,张宇的性别是什么
城关镇,面积,134.27平方公里,城关镇面积有多大
城关镇,所属地区,中国西南,城关镇在哪个地区
和平村,地理位置,山东省微山县南阳镇,和平村在哪个省市县镇
西城社区,成立时间,2006年6月,西城社区是什么时候成立的
王辉,职业,广东省广播电影电视局官员,王辉是干什么的
东创建国,经营范围,整车销售、售后服务、配件供应,东创建国主要做什么生意
茴香,中文学名,茴香,茴香中文学名叫什么
王军,出生年月,1962年7月,王军是哪年哪月哪日出生
丹顶鹤,界,动物界,丹顶鹤所属什么界
王平,别名,原名王惟允，曾用名王明,王平还用过别的名字吗
李军,主要成就,中国美术学会会员 中国陶瓷协会会员,有谁知到李军这个人都有什么成就
tcl,公司性质,私企,tcl是国企还是私企呀
城关镇,人口,5万,城关镇的人口规模有多少
圆锥花序组,科,石竹科caryophyllaceae,圆锥花序组是什么科植物的特点
匆匆那年,英文名,back in time,匆匆那年英文怎样翻译
《兄弟》,类别,图书,《兄弟》属于哪种小说
刘勇,代表作品,《中国现代作家的宗教文化情结》,刘勇的代表作品有什么
