question,predict_answer,accurate_answer
你知道计算机应用基础这本书的作者是谁吗？,秦婉，王蓉,秦婉，王蓉
计算机应用基础这本书的出版社是那个？,机械工业出版社,机械工业出版社
告诉我高等数学的出版时间是什么时候？,2004年,2004年
我想知道戴维斯是什么国家的人？,美国,美国
你知道高等数学的isbn吗？,9.7873E+12,9.7873E+12
告诉我高等院校素质教育“十二五”规划教材的名字是什么？,职场博弈素质培养,职场博弈素质培养
你知道mc的外文名是什么吗？,emcee,emcee
王平的出生日期是哪一年呀？,1954年,1954年
彼岸之界小说进度到哪里了？,情节展开,情节展开
告诉我剑魔传的连载网站是哪个？,天涯读书,天涯读书
线性代数的页数在第几页？,142页,142页
你知道龙泉镇的中文名是什么吗？,龙泉镇[四川省成都市龙泉驿区],龙泉镇[四川省成都市龙泉驿区]
刘勇这个人出生地在哪？,江苏南京,江苏南京
你知道高等数学的定价是多少吗？,28元,28元
王伟是什么职业呀？,画家,画家
城关镇的中文名是什么啊？,城关镇[临澧县],城关镇
你知道李军是哪个民族的吗？,汉族,汉族
全球通史的装帧是什么样子的？,软装,软装
我想知道神雕侠侣是什么类型的电视剧？,古装，武侠，爱情,古装，武侠，爱情
苏琳是男的吗？,男,男
高等数学是几开的书？,787x960 1/16,787x960 1/16
苏宁易购的公司的全称是什么？,苏宁云商集团,苏宁云商集团
你知道红是什么类别的书？,恋爱 少年,恋爱 少年
王强是在哪个学校毕业的？,第二军医大学,第二军医大学
你知道张孝全的国籍是哪的吗？,中国（台湾）,中国（台湾）
申万菱信基金管理有限公司的总部地点在哪啊？,上海市黄浦区中山南路100号,上海市黄浦区中山南路100号
李静是男的女的？,女,女
河边村的占地面积大概有多少？,1.59平方公里,1.59平方公里
向阳村这个地方的所属地区是哪里啊？,云南省大理市云龙县团结彝族乡,云南省大理市云龙县团结彝族乡
有人知道东山村的地理位置吗？,位于高平市市区东部,位于高平市市区东部
路虎是哪年成立的？,2014年（甲午年）,2014年（甲午年）
你知道陈平的职业是什么吗？,四川省骨质疏凇专委会委员,四川省骨质疏凇专委会委员
商务星健身管理软件的经营范围是什么？,健身俱乐部管理软件,健身俱乐部管理软件
你知道夕颜这个东西的中文学名是什么吗？,月光花,月光花
王磊是几几年出生的？,1971年,1971年
在生物学中钩吻属属于哪个界？,动物界,动物界
大家都管李鑫叫什么名字？,大猩猩,大猩猩
李敏这个人有什么成就啊？,各类统考课程教学成绩一直名列前茅，教学成果显著。,各类统考课程教学成绩一直名列前茅，教学成果显著。
你知道雅芳的公司性质是什么吗？,零售（2014中国区）,零售（2014中国区）
张庄村大概有多少人？,972,972
你知道冬虫夏草是哪种科吗？,麦角菌科,麦角菌科
朴智彬的英文名字有人知道吗？,parkjibin,parkjibin
电视里演的《神雕侠侣》是哪种类型的电视剧？,剧情 动作,剧情 动作
于洋这个人有什么代表作品吗？,普法栏目剧,普法栏目剧
你知道在生物学中乌龟属于什么门的动物吗？,脊椎动物,脊椎动物
map是什么性质的东西？,stl的一个关联容器,stl的一个关联容器
陈刚是哪的人？,重庆市,重庆市
有一个叫做疯狂坦克的游戏是什么类型的啊？,射击小游戏,射击小游戏
十姐妹是哪个目的生物？,燕雀目,燕雀目
有人知道莲花山在什么地方吗？,长春莲花山,长春莲花山
你知道知母是什么纲的吗？,单子叶植物纲,单子叶植物纲
你知道斐迪南一世是什么时候去世的吗？,1948年9月10日,1948年9月10日
告诉我张勇是什么民族的？,明,明
我想知道霸气的拼音是什么?,baqi,baqi
你知道圣地亚哥的英文名字是什么吗？,santiago de veraguas,santiago de veraguas
苹果的拉丁学名是什么呀？,malus pumila mill.,malus pumila mill.
黎明村的行政类别是什么呀？,村,村
你知道南煎丸子是什么地方的菜吗？,北京菜,北京菜
白头翁这个动物是什么属呀？,白头翁属,白头翁属
我想问一下张磊有多高？,180cm,180cm
宝华寺是什么地区的建筑？,江西赣县,江西赣县
你知道咏菊的作品名称是什么吗？,咏菊,咏菊
我想知道采莲曲的创作年代？,隋代,隋代
电视剧红楼梦的导演是谁呀？,李少红,李少红
香兰茶喝起来是什么味道的啊？,香兰红茶香气清甜纯正，滋味浓,香兰红茶香气清甜纯正，滋味浓
平壤之战是那一年打起来的？,明万历二十一年 （ 1593 ）,明万历二十一年 （ 1593 ）
我想知道姬松茸的中文学名是什么？,巴西菇,巴西菇
天堂鸟是什么界的动物呀？,动物界,动物界
八哥有什么别的名字吗？,寒皋、鸲鹆、花鹆、哵哵鸟,寒皋、鸲鹆、花鹆、哵哵鸟
李敏的出身地在什么地方？,广东梅县,广东梅县
你了解野望的文学体裁是什么吗？,五言绝句,五言绝句
瓦格纳是什么国家的城市？,巴西,巴西
你知道倭叉角羚这种动物是什么纲的吗？,哺乳纲 mammalia,哺乳纲 mammalia
能告诉我极乐吻鰕虎是什么门的动物呀？,脊索动物门 chordata,脊索动物门 chordata
你知道长柄船蛆是什么科的吗？,船蛆科,船蛆科
你知道呼啸山庄的制作地区在那里吗？,美国/英国,美国/英国
巴恩斯是什么运动项目呀？,拳击,拳击
我想知道真相这本书是谁翻译的呀？,陈睿 杨通,陈睿 杨通
告诉我张娜的体重是多少？,72公斤,72公斤
动物地鸠属是属于什么目呀？,娃娃的礼物,今颚总目(neognathae)
能告诉我《兄弟》这本书是谁写的吗？,余华 著,余华 著
我想知道金山中学的创办时间是哪年？,1999年,1999年
能告诉我倚天屠龙记的主演都有谁吗？,吴启华，黎姿，佘诗曼,吴启华，黎姿，佘诗曼
我想知道王强是什么学校毕业的？,第二军医大学,湖北音乐学院
石门这个词出自什么诗句呀？,《赠丹阳横山周处士惟长》,《赠丹阳横山周处士惟长》
我想知道做焖子都需要什么食材？,地瓜淀粉 精瘦肉,地瓜淀粉 精瘦肉
能告诉我南湖公园的占地面积有多大吗？,1500亩,1500亩
《人物》这本书是什么语言编写的？,英文,英文
我想问一下《内科学》是哪个出版社出版的书？,北京大学医学出版社,北京大学医学出版社
你知道雷锋日记-拼音版的副标题是什么吗？,雷锋日记,雷锋日记
我想知道雷电这款游戏占多大的内存？,7.87 mb,7.87 mb
你知道薄叶卷毛梾木是什么属的吗？,梾木属,梾木属
你知道万达广场的是在什么地方吗？,福州,泉州浦西
我想知道神雕侠侣的上映时间是什么时候？,1998-06-02,1998-06-02
能告诉我西藏大学具体是什么类型的大学吗？,211工程 中西部高校基础能力建设工程 西藏自治区人民政府与教育部共建高校,211工程 中西部高校基础能力建设工程 西藏自治区人民政府与教育部共建高校
《鲁迅全集》这本书是什么时候出版的呀？,1981年,1981年
