question,entity,attribute,answer,predict_answer
城关镇的中文名是什么啊？,城关镇,中文名称,城关镇,城关镇[临澧县]
你知道斐迪南一世是什么时候去世的吗？,斐迪南一世,逝世日期,1948年9月10日,"1927年7月20日（61岁） 锡纳亚, 罗马尼亚王国"
你知道圣地亚哥的英文名字是什么吗？,圣地亚哥,外文名称,santiago de veraguas,saint jakob
动物地鸠属是属于什么目呀？,地鸠属,目,今颚总目(neognathae),娃娃的礼物
我想知道王强是什么学校毕业的？,王强,毕业院校,湖北音乐学院,第二军医大学
你知道万达广场的是在什么地方吗？,万达广场,地址,泉州浦西,江门市
龙泉镇是在中国的什么地方啊？,龙泉镇,所属地区,中国 四川,龙泉镇[四川省成都市龙泉驿区]
第十二夜这部片子要演多久呀？,第十二夜,片长,155 min,12 min
恒大金碧天下是什么样子的房子啊？,恒大金碧天下,物业类别,别墅,联排 独栋 双拼
关帝庙是在什么地方的庙宇？,关帝庙,定义,山西省阳泉市庙宇,山东省汶上县
爱上你这个曲子是谁写的？,爱上你,编曲,吕绍淳,16开
告诉我喜欢你这首歌曲有多长时间？,喜欢你,歌曲时长,03：59,为已故足球名宿谭江柏之子
定春之个玩具的地位是什么啊？,定春,地位,动漫《银魂》中的吉祥物,秦威
你知道白沙镇火车站叫什么名字吗？,白沙镇,火车站,郑州市新东站,赣州市章贡区五洲大道31号
恒大金碧天下是在什么地区的楼?,恒大金碧天下,城区,眉山市彭山县,恒大金碧天下
干扰的学科属于什么系统的？,干扰,学科,系统学,谏山创
地下铁公司是那个？,地下铁,公司,emi virgin,世界各地 包括：  香港  中国大陆  英国伦敦  瑞典斯德哥尔摩 澳大利亚墨尔本 及其他
100位为新中国成立作出突出贡献的英雄模范人物的这本书是什么单位？,100位为新中国成立作出突出贡献的英雄模范人物,单位,册,北京工业大学出版社
你知道月光是谁作曲的吗？,月光,作词,杨瑞代,黄戚尔
你知道哈利·波特与魔法石是什么书号吗？,哈利·波特与魔法石,书号,isbn 978-7-02-003343-0,isbn 7-02-003344-x
全美超级模特儿新秀大赛什么时候播出啊？,全美超级模特儿新秀大赛,播映,the cw,2009年3月4日－2009年（美国）
倩女幽魂是什么公司制片的？,倩女幽魂,制片商,电影工作室 新艺城,温嘉文 钟珍 叶百全 周国忠
钨丝熔点是多少？,钨,熔点,3410±20℃,低碳钢丝
关帝庙是什么时候开始建立的？,关帝庙,始建,清代康熙二十一年（1682年）,元代
我是歌手的主持人是谁啊？,我是歌手,主持人,李素罗、尹道贤、尹钟信、朴明秀、卢洪哲、郑真英,萧贺硕
你知道埃德政府是什么名字吗？,埃德,政府,sonja edvardsen（工党）,20个有野心的国王
狱中题壁什么时候写的？,狱中题壁,创作时间,1922年,《列朝诗集》
我想知道埃迪·约翰逊是由多高啊？,埃迪·约翰逊,登录体重,180英磅（82千克）,6英尺2英寸（1.88米）
液体刀是什么疗法啊？,液体刀,基础,药刀疗法,风湿
koyo nu1012轴承的轴承是多大的啊？,koyo nu1012轴承,d(内径),60mm,95mm
你知道光是谁写的词吗？,光,词曲,李圣杰,杨瑞代
斯卡是什么地方cv？,斯卡,声优,日本：置鲇龙太郎（03）,圣灵系
太阳报是什么公司旗下的产品啊？,太阳报,拥有者,东方报业集团,亲中媒体
加纳的政治中心是什么城市吗？,加纳,首都,阿克拉（accra）,阿克拉
你知道今夜谁来共舞是谁写的词吗？,今夜谁来共舞,作词者,蔣慧琪,双子叶植物纲(magnoliopsida)，又称木兰纲。
金是在多少温度沸腾的啊？,金,沸点,2856℃,（-10～45）℃
白石站是属于什么地方管辖的啊？,白石站,所属业者,北海道旅客铁道（jr北海道）,北海道札幌市白石区平和通3丁目
你知道香港有什么明星吗？,香港,地域名人,李小龙、周润发、成龙,恒基兆业、新鸿基地产
"你知道2-氨基-4-甲基-6-甲氧基-1,3,5-三嗪的CAS号是什么吗？","2-氨基-4-甲基-6-甲氧基-1,3,5-三嗪",cas号,1668-54-8,140.14
gt赛车是什么时候做成的啊？,gt赛车,发行日,gran turismo (1997年12月23日) gran turismo 2 (1999年12月11日) gran turismo 3 a-spec (2001年4月28日) gran turismo concept 2001 tokyo (2002年1月1日) gran turismo 4 “prologue” （2003年12月4日） gran turismo 4 (2004年12月28日) gran turismo 5 “prologue” （2007年12月13日） gran turismo psp (2009年10月1日) gran turismo 5 (2010年11月25日)) gran turismo 6 (2013年12月6日),一对一，可同时两人游玩。在线时，最大16人。
你知道岛的外语怎么拼吗？,岛,英文,island,日版
你知道金达激冻系列1330有多少个仓吗？,金达激冻系列1330,3.5英寸仓位,4个,3个
你知道茴香的英文名是什么啊？,茴香,学名,foeniculum vulgare,茴香
你知道第一时间在什么电视台播出吗？,第一时间,播出频道,辽宁广播电视台,"协约国总士兵阵亡: 5,497,600 同盟国总士兵阵亡: 3,382,500 交战双方受伤总数：2000万左右 平民死亡总数：6,493,000"
我想知道广安·康馨家园什么时候可以完工啊？,广安·康馨家园,交房时间,2014-03-31,70年
公羊主战坦克是那个国家制作的你知道吗？,公羊主战坦克,生产,意大利芬梅卡尼卡集团,奥托·梅莱拉公司
你知道陈杨波是什么时候开始火的吗？,陈杨波,出道地区,内地,仙女湖
你知道韩国有什么官吗？,韩国,爵位,侯爵,韩国某著名男性艺人
你知道中国历代帝王传（2011版）卖多少钱啊？,中国历代帝王传（2011版）,纸书价格,27.8,2
你知道圣伯多禄圣保禄主教座堂是什么风格的啊？,圣伯多禄圣保禄主教座堂,建筑风格,新哥特式,香港
你知道蕃是属于什么吗？,蕃,仓颉,thdw,atol
荷载频遇值这个的范围是什么啊？,荷载频遇值,2,一般在10％以内,可变荷载标准值乘荷载频遇值系数
二丑夺命丹是什么制作成的？,二丑夺命丹,药物组成,木通1两，香附（醋炒）1两,上为末，以白酒浆同老米打糊为丸
你知道秦艽是什么吗？,秦艽,亚 科,龙胆亚科 subfam. gentianoideae,大花秦艽
你知道布克美容学院有几个校区啊？,布克美容学院,1,三个校区,兼职课程、美学及指导学
你知道逼瘟丹是什么吗？,逼瘟丹,制法,研末,时邪
你知道远大医药一共有多少资产吗？,远大医药,营收,19亿元,30亿元
雪佛兰prizm有多长啊？,雪佛兰prizm,车型尺寸,4.427米 1.649米 1.364米,1038千克
214省道在什么地方到头啊？,214省道,终点,临海市104国道环岛,宁波市海曙区永宁桥
你找道白藤江之战参加了多少人啊？,白藤江之战,参战方兵力,南汉10000人 交趾不详,50000人以上
北京亿星八方技术研究院的目标是什么啊？,北京亿星八方技术研究院,精神,“与时俱进，继往开来,复合薄膜
关于加强义务教育阶段农村留守儿童关爱和教育工作的意见是用于什么人群？,关于加强义务教育阶段农村留守儿童关爱和教育工作的意见,适用对象,农村留守儿童,教基一〔2013〕1号
你知道品牌视角是什么吗？,品牌视角,时长,电视版10分钟，网络版30分钟,大型专业电子商务网站
叶抱伊蚊的中文名字是什么啊？,叶抱伊蚊,中文科名,蚊科,双翅目
重庆市人民政府办公厅关于市政府领导工作分工的通知是什么文字号啊？,重庆市人民政府办公厅关于市政府领导工作分工的通知,发文字号,渝府办发〔2013〕223号[1],重庆市人民政府办公厅[1]
你知道伊瓜苏国家公园的英文全名是什么吗？,伊瓜苏国家公园,正式名称,iguaçu national park,parc national d'iguaçu
台中市火车站都有什么啊？,台中市,火车站,台中车站、泰安车站、丰原车站等,台湾高速铁路
你知道罗斯福号航空母舰是什么时候开始服役的啊？,罗斯福号航空母舰,下水,1984年10月27日,纽波特纽斯造船及船坞公司
佐罗，一个传奇的开始是谁翻译的啊？,佐罗，一个传奇的开始,译 者,赵德明,漫画第3话、动漫第2集
你知道托米·罗布雷多的历史成绩吗？,托米·罗布雷多,单打成绩,450-285 292胜179负,147-158
你知道碧阳学园学生会议事录的音箱是谁来管啊？,碧阳学园学生会议事录,音响监督,岩浪美和,番外篇
无限恐怖有什么品牌啊？,无限恐怖,其他相关作品,《魔法世纪》、《死亡开端》…,无限流、郑吒、楚轩
我很好奇丘克国际机场的代码是什么？,丘克国际机场,三字代码,tkk,ptkk
西原特别区在什么地方啊？,西原,特别区,北区,2006年6月
你知道景丽简易瑜伽的节数是多少吗？,景丽简易瑜伽,碟 片 数,1,大陆
你知道动机与效果是什么吗？,动机与效果,关于,道德,（1～3次车）3.5km/h/s （4次车）3.3km/h/s km/h/s
我是只鬼的开头说了什么啊？,我是只鬼,第一章,我死了,传说中的黑白无常
我想知道第12届中国光伏大会暨国际光伏大会开到什么时候啊？,第12届中国光伏大会暨国际光伏大会,结束时间,2012年9月7日14：00,2012年9月5日—7日
我想知道胡蜂号航空母舰的排水量是多大？,胡蜂号航空母舰,吃水,8.7米,36380吨
我想知道小行星605是什么是时候发现的？,小行星605,历元 2011年8月27日,历元 2011年8月27日,海德堡
海略ISO31166是什么码？,海略,iso 3166码,no-1515,2小时
玫瑰情歌：爱在情歌浪漫时存在什么东西里了？,玫瑰情歌：爱在情歌浪漫时,介  质,cd,大陆
你知道如果真的不再爱我是谁做的曲子吗？,如果真的不再爱我,编 曲,张楚弦，,秋言，
你知道努比亚遗址是什么国家的遗产吗？,努比亚遗址,所属国,埃及,文化遗产(i)(iii)(vi)
2013年12月永宁站的日进出人次是多少排名第几？,永宁站,日进出人次,"29,806[1]，第49名（2013年12月）",2009年
你知道狗皮膏药是什么意思吗？,狗皮膏药,比喻,骗人的货色,中医用狗皮膏药消肿止痛
你知道九龙巴士15a线的分段收费站点是什么地方吗？,九龙巴士15a线,分段收费站点 （回程）,宏光道往平田：hk$5.1 观塘市中心往平田：hk$4.5,龙翔道往慈云山（北）：hk$5.1
我想知道九龙巴士15a线的分段收费站点是什么啊？,九龙巴士15a线,分段收费站点 （去程）,龙翔道往慈云山（北）：hk$5.1,宏光道往平田：hk$5.1 观塘市中心往平田：hk$4.5
你知道出口带宽 是什么意思吗？,出口带宽,带宽,是宽带负载能力,前出师表/后出师表
你知道留在海边的脚印的颜色是什么吗？,留在海边的脚印,颜 色,彩色,苹果属
