question,entity,attribute,answer,predict_answer
城关镇的中文名是什么啊？,城关镇,中文名称,城关镇,城关镇[临澧县]
你知道斐迪南一世是什么时候去世的吗？,斐迪南一世,逝世日期,1948年9月10日,"1927年7月20日（61岁） 锡纳亚, 罗马尼亚王国"
你知道圣地亚哥的英文名字是什么吗？,圣地亚哥,外文名称,santiago de veraguas,saint jakob
平壤之战是那一年打起来的？,平壤之战,时间,明万历二十一年 （ 1593 ）,中国；日本
动物地鸠属是属于什么目呀？,地鸠属,目,今颚总目(neognathae),娃娃的礼物
我想知道王强是什么学校毕业的？,王强,毕业院校,湖北音乐学院,第二军医大学
龙泉镇是在中国的什么地方啊？,龙泉镇,所属地区,中国 四川,龙泉镇[四川省成都市龙泉驿区]
我想知道文峰塔是在什么地方的？,文峰塔,位置,甘肃省陇西县文峰镇迎春堡村,天马镇南部的文笔峰（塔山）之巅
第十二夜这部片子要演多久呀？,第十二夜,片长,155 min,frances barber
恒大金碧天下是什么样子的房子啊？,恒大金碧天下,物业类别,别墅,联排 独栋 双拼
关帝庙是在什么地方的庙宇？,关帝庙,定义,山西省阳泉市庙宇,山东省汶上县
告诉我喜欢你这首歌曲有多长时间？,喜欢你,歌曲时长,03：59,为已故足球名宿谭江柏之子
你知道玝这个字有几笔吗？,玝,笔画,8,4
定春之个玩具的地位是什么啊？,定春,地位,动漫《银魂》中的吉祥物,秦威
柱七的赤纬是多少呢？,柱七,赤纬,+32° 11′ 31.278″,05h 32m 43.6729s
你知道白沙镇火车站叫什么名字吗？,白沙镇,火车站,郑州市新东站,赣州市章贡区五洲大道31号
恒大金碧天下是在什么地区的楼?,恒大金碧天下,城区,眉山市彭山县,恒大金碧天下
干扰的学科属于什么系统的？,干扰,学科,系统学,谏山创
地下铁公司是那个？,地下铁,公司,emi virgin,世界各地 包括：  香港  中国大陆  英国伦敦  瑞典斯德哥尔摩 澳大利亚墨尔本 及其他
100位为新中国成立作出突出贡献的英雄模范人物的这本书是什么单位？,100位为新中国成立作出突出贡献的英雄模范人物,单位,册,北京工业大学出版社
你知道月光是谁作曲的吗？,月光,作词,杨瑞代,黄戚尔
你知道哈利·波特与魔法石是什么书号吗？,哈利·波特与魔法石,书号,isbn 978-7-02-003343-0,isbn 7-02-003344-x
全美超级模特儿新秀大赛什么时候播出啊？,全美超级模特儿新秀大赛,播映,the cw,2009年3月4日－2009年（美国）
倩女幽魂是什么公司制片的？,倩女幽魂,制片商,电影工作室 新艺城,温嘉文 钟珍 叶百全 周国忠
钨丝熔点是多少？,钨,熔点,3410±20℃,-30℃～50℃
我是歌手的主持人是谁啊？,我是歌手,主持人,李素罗、尹道贤、尹钟信、朴明秀、卢洪哲、郑真英,萧贺硕
你知道埃德政府是什么名字吗？,埃德,政府,sonja edvardsen（工党）,20个有野心的国王
狱中题壁什么时候写的？,狱中题壁,创作时间,1922年,《列朝诗集》
我想知道埃迪·约翰逊是由多高啊？,埃迪·约翰逊,登录体重,180英磅（82千克）,6英尺2英寸（1.88米）
液体刀是什么疗法啊？,液体刀,基础,药刀疗法,风湿
koyo nu1012轴承的轴承是多大的啊？,koyo nu1012轴承,d(内径),60mm,95mm
你知道光是谁写的词吗？,光,词曲,李圣杰,杨瑞代
斯卡是什么地方cv？,斯卡,声优,日本：置鲇龙太郎（03）,美国电影艺术与科学学院
加纳的政治中心是什么城市吗？,加纳,首都,阿克拉（accra）,阿克拉
你知道今夜谁来共舞是谁写的词吗？,今夜谁来共舞,作词者,蔣慧琪,被子植物门(magnoliophyta)
金是在多少温度沸腾的啊？,金,沸点,2856℃,（-10～45）℃
白石站是属于什么地方管辖的啊？,白石站,所属业者,北海道旅客铁道（jr北海道）,北海道札幌市白石区平和通3丁目
鸳鸯眼是在什么地方的病啊？,鸳鸯眼,发病部位,瞳孔,坏习惯，基因问题，遗传因素
你知道香港有什么明星吗？,香港,地域名人,李小龙、周润发、成龙,恒基兆业、新鸿基地产
"你知道2-氨基-4-甲基-6-甲氧基-1,3,5-三嗪的CAS号是什么吗？","2-氨基-4-甲基-6-甲氧基-1,3,5-三嗪",cas号,1668-54-8,140.14
你知道brmfcmon.exe这个软件的名称是什么吗？,brmfcmon.exe,进程名称,brother status monitor,no
gt赛车是什么时候做成的啊？,gt赛车,发行日,gran turismo (1997年12月23日) gran turismo 2 (1999年12月11日) gran turismo 3 a-spec (2001年4月28日) gran turismo concept 2001 tokyo (2002年1月1日) gran turismo 4 “prologue” （2003年12月4日） gran turismo 4 (2004年12月28日) gran turismo 5 “prologue” （2007年12月13日） gran turismo psp (2009年10月1日) gran turismo 5 (2010年11月25日)) gran turismo 6 (2013年12月6日),一对一，可同时两人游玩。在线时，最大16人。
你知道岛的外语怎么拼吗？,岛,英文,island,希腊语 、 意大利语
我想知道中央区是在什么地方成立的吗？,中央区,都道府县,兵库县,神户市（滩区、兵库区、北区）
你知道ge70es-2rs轴承的内径是多少吗？,ge70es-2rs轴承,轴承内径,70,105
你知道金达激冻系列1330有多少个仓吗？,金达激冻系列1330,3.5英寸仓位,4个,3个
我想知道lmanager.exe是什么公司做的啊？,lmanager.exe,出品者,宏碁,否
我想知道fn minimi轻机枪多重？,fn minimi轻机枪,基本规格,7.1 公斤,"弹链：750 发/分 30发弹匣：1,000 发/分"
我想知道王皓什么时候得的奥运冠军？,王皓,金牌,2008年 北京,国际象棋
你知道茴香的英文名是什么啊？,茴香,学名,foeniculum vulgare,茴香
你知道第一时间在什么电视台播出吗？,第一时间,播出频道,辽宁广播电视台,10
你知道死亡日记是谁写的啊？,死亡日记,剧本,索菲亚•科波拉,air
我想知道东风水库可以装多少水啊？,东风水库,正常库容,1537万立方米,33.6平方公里
我想知道广安·康馨家园什么时候可以完工啊？,广安·康馨家园,交房时间,2014-03-31,70年
你知道倚天屠龙记是存在什么地方吗？,倚天屠龙记,媒介,软盘,屠龙刀/倚天剑
你知道唐河在什么地方吗？,唐河,河口,河北安新县,山西浑源、灵丘、河北保定市
公羊主战坦克是那个国家制作的你知道吗？,公羊主战坦克,生产,意大利芬梅卡尼卡集团,奥托·梅莱拉公司
你知道陈杨波是什么时候开始火的吗？,陈杨波,出道地区,内地,仙女湖
你知道中国人民解放军成都军区总医院主要治疗什么吗？,中国人民解放军成都军区总医院,特色专科,消化道内镜诊治技术、重症急性胰腺炎的救治，射频消融术、功能神经外科、颅脑微创手术,是
我想知道2012第七届中国（青岛）国际低碳照明展览会在哪个城市开展啊？,2012第七届中国（青岛）国际低碳照明展览会,举办城市,青岛,2012/07/24 至 2012/07/25
我想知道犬角膜炎是什么时候发病啊？,犬角膜炎,季节分布,四季,干性角膜炎可口服维生素a、维生素b、维生素c、维生素d。
你知道白石站的人流量吗？,白石站,上下车人次 -统计年度-,"7,238[1]人/日 -2011年-",地面车站
你知道圣伯多禄圣保禄主教座堂是什么风格的啊？,圣伯多禄圣保禄主教座堂,建筑风格,新哥特式,香港
你知道蕃是属于什么吗？,蕃,仓颉,thdw,15
荷载频遇值这个的范围是什么啊？,荷载频遇值,2,一般在10％以内,国际标准iso2394:1998
二丑夺命丹是什么制作成的？,二丑夺命丹,药物组成,木通1两，香附（醋炒）1两,上为末，以白酒浆同老米打糊为丸
2013中国（上海）国际网络安全展览会暨高峰论坛 在什么时候开？,2013中国（上海）国际网络安全展览会暨高峰论坛,会期,2013年6月4日—6日,2013中国（上海）国际网络安全展览会暨高峰论坛
你知道秦艽是什么吗？,秦艽,亚 科,龙胆亚科 subfam. gentianoideae,大花秦艽
你知道布克美容学院有几个校区啊？,布克美容学院,1,三个校区,兼职课程、美学及指导学
你知道逼瘟丹是什么吗？,逼瘟丹,制法,研末,时邪
你知道远大医药一共有多少资产吗？,远大医药,营收,19亿元,30亿元
雪佛兰prizm有多长啊？,雪佛兰prizm,车型尺寸,4.427米 1.649米 1.364米,1038千克
北京地铁15号线是谁投资建设的啊？,北京地铁15号线,所有者,北京市基础设施投资有限公司,清华东路西口——俸伯
ge70es-2rs轴承的外径是多少吗？,ge70es-2rs轴承,轴承外径,105,70
214省道在什么地方到头啊？,214省道,终点,临海市104国道环岛,宁波市海曙区永宁桥
林肯大学的学生都是那年的啊？,林肯大学,本科生,1827,victor adebowale
你知道是妈妈是棵树这本书是是妈妈给我的？,妈妈是棵树,出版社,北京大学出版社,9.7873E+12
你知道北京地铁8号线全程多少站吗？,北京地铁8号线,车站总数,17[1],南锣鼓巷——朱辛庄
你知道败血性休克是属于什么吗？,败血性休克,分类系统及外部资源,分类系统及外部资源,668
联合车站是什么样子的形式啊？,联合车站,站体型式,地下车站,西班牙文艺复兴
你找道白藤江之战参加了多少人啊？,白藤江之战,参战方兵力,南汉10000人 交趾不详,南汉，交趾
卖药广播电台通常第一条是什么吗？,卖药广播电台,第一条,正文,电台查获
北京亿星八方技术研究院的目标是什么啊？,北京亿星八方技术研究院,精神,“与时俱进，继往开来,复合薄膜
我想了解一下城巴40线的公交的时间？,城巴40线,班次频率,星期一至六：8-20分钟一班 星期日及公众假期：20分钟一班,星期一至六：06:37-23:48 星期日及公众假期：06:35-23:35
捡个王子带回家的漫画是谁画的啊？,捡个王子带回家,漫画作者,雪森樱,浪漫爱情
你知道蕨麻是什么类型的吗？,蕨麻,亚 目,蔷薇亚目,蔷薇亚科
关于加强义务教育阶段农村留守儿童关爱和教育工作的意见是用于什么人群？,关于加强义务教育阶段农村留守儿童关爱和教育工作的意见,适用对象,农村留守儿童,教基一〔2013〕1号
你知道品牌视角是什么吗？,品牌视角,时长,电视版10分钟，网络版30分钟,李宁、乐途、艾高、新动
叶抱伊蚊的中文名字是什么啊？,叶抱伊蚊,中文科名,蚊科,双翅目
重庆市人民政府办公厅关于市政府领导工作分工的通知是什么文字号啊？,重庆市人民政府办公厅关于市政府领导工作分工的通知,发文字号,渝府办发〔2013〕223号[1],重庆市人民政府办公厅[1]
你知道伊瓜苏国家公园的英文全名是什么吗？,伊瓜苏国家公园,正式名称,iguaçu national park,parc national d'iguaçu
我想知道卖药广播电台的第三条是什么？,卖药广播电台,第三条,清理整顿,电台查获
