question,predict_answer,accurate_answer
what does jamaican people speak?,Jamaican Creole English Language,Jamaican Creole English Language
what did james k polk do before he was president?,Lawyer,Lawyer
what is the oregon ducks 2012 football schedule?,University of Oregon,University of Oregon
who plays ken barlow in coronation street?,Tony Warren,Tony Warren
what happened after mr. sugihara died?,Yaotsu,Yaotsu
who did mozart write his four horn concertos for?,Rheumatic fever,wolfgang amadeus mozart used story by pierre beaumarchais
where is jamarcus russell from?,Mobile,Mobile
where was george washington carver from?,Diamond,Diamond
what else did ben franklin invent?,Lightning rod,Lightning rod
who was richard nixon married to?,Pat Nixon,Pat Nixon
what country did germany invade first in ww1?,Berlin,Belgium
what is the best sandals resort in st lucia?,Micoud Quarter,Micoud Quarter
who is governor of ohio 2011?,John Kasich,John Kasich
who was vice president after kennedy died?,Lyndon B. Johnson,Lyndon B. Johnson
where is the fukushima daiichi nuclear plant located?,Japan,Japan
who is the minority leader of the house of representatives now?,Nancy Pelosi,Nancy Pelosi
what countries are part of the uk?,Wales,Scotland
who plays bilbo baggins in the hobbit?,Norman Bird,Norman Bird
what things did martin luther king do?,Preacher,Civil rights movement
what is my timezone in louisiana?,Central Time Zone,Central Time Zone
what did st augustine do?,Physician,Physician
who is keyshia cole dad?,Leon Cole,Leon Cole
what kind government does egypt have?,Government of Egypt,Semi-presidential system
what town was martin luther king assassinated in?,Memphis,Memphis
where did edgar allan poe died?,Baltimore,Baltimore
when did charles goodyear invented rubber?,"During the early 1830's he began inventing, filing six patents between 1830 and 1834, and during this period became interested in rubber, which he tried - unsuccessfully - to use in some of his mechanical inventions.","During the early 1830's he began inventing, filing six patents between 1830 and 1834, and during this period became interested in rubber, which he tried - unsuccessfully - to use in some of his mechanical inventions."
what to do today in atlanta with kids?,Atlanta History Center,Atlanta History Center
who did france surrender to in ww2?,Battle of Landshut,Germany
what electorate does anna bligh represent?,Electoral district of South Brisbane,Electoral district of South Brisbane
what channel is the usa pageant on?,us,us
what are some of the traditions of islam?,Quran,Zakāt
where did andy murray started playing tennis?,United Kingdom,United Kingdom
what is the australian dollar called?,Australian dollar,Australian dollar
what timezone is sweden?,Central European Time,Central European Time
who did cam newton sign with?,Quarterback,Carolina Panthers
what county is frederick md in?,Frederick County,Frederick County
what highschool did harper lee go to?,Huntingdon College,Monroe County High School
what timezone is utah in?,Mountain Time Zone,Mountain Time Zone
who did george w. bush run against for the second term?,"George W. Bush presidential campaign, 2000",Al Gore
who is niall ferguson's wife?,Ayaan Hirsi Ali,Ayaan Hirsi Ali
who was the leader of soviet union during wwii?,Joseph Stalin,Joseph Stalin
where is the galapagos islands located on a world map?,Pacific Ocean,Pacific Ocean
what are the songs that justin bieber wrote?,Catching Feelings,Catching Feelings
what did george clemenceau do?,Newspaper,Newspaper
what is the state flower of arizona?,Black,Saguaro
where was rihanna born and raised?,Saint Michael Parish,Saint Michael Parish
what year did president william henry harrison take office?,3/4/1841,3/4/1841
where george lopez was born?,Mission Hills,Mission Hills
where are samsung based?,Seoul,Seoul
what did the islamic people believe in?,Monotheism,Zakāt
what did the scientist chadwick discovered?,Neutron,Neutron
who will play mr gray in the film?,Dr. Derek Shepherd,Karen Mulder
what did george orwell died of?,Tuberculosis,Tuberculosis
who won the battle of gettysburg union or confederate?,Confederate States of America,Union
what country did adolf hitler control?,Austria,Germany
who is michael buble?,Singer,Singer
what county is kansas city kansas?,Wyandotte County,Wyandotte County
what was john quincy adams famous for?,Secretary of State,Secretary of State
who did jackie robinson first play for?,Brooklyn Dodgers,Montreal Royals
when did annie open?,Annie (1977 original Broadway cast),Annie (1977 original Broadway cast)
where did eleanor roosevelt die?,New York City,New York City
what are the religions practiced in indonesia?,Protestantism,Protestantism
what was jesse james killed with?,Assassination,Assassination
who was vp for lincoln?,Statesman,Andrew Johnson
what other books did charles dickens write?,The Chimes,The Chimes
who was the first dictator of the soviet union?,Joseph Stalin,Joseph Stalin
what is the currency of puerto rico called?,United States dollar,United States dollar
what kind of cancer did carl wilson have?,Lung cancer,Lung cancer
who plays the voice of kitt in knight rider?,William Daniels,William Daniels
what county is brentwood tennessee in?,Williamson County,Williamson County
who is moira en x men?,Mutant,Mutant
who did michael j fox marry?,Tracy Pollan,Tracy Pollan
what battles did stonewall jackson fight in?,Battle of Manassas Station Ops.,Battle of Manassas Station Ops.
what language do the maasai tribe speak?,Maasai Language,Maasai Language
who did benjamin franklin get married to?,Deborah Read,Deborah Read
what disease did patrick swayze died from?,Pancreatic cancer,Pancreatic cancer
what works of art did leonardo da vinci produce?,lorenzo de' medici patron of leonardo da vinci,Ginevra de' Benci
what capital of austria?,Vienna,Vienna
what type of cancer did eva peron have?,Cervical cancer,Cervical cancer
what country did buddha come from?,Lumbini,India
what county is greeley colorado in?,Weld County,Weld County
where is the ellen degenerous show filmed?,Dory,Beverly Hills
what did peter tchaikovsky do?,Composer,Composer
which countries speak german officially?,German Democratic Republic,Canada
what type of music did john lennon sing?,Experimental rock,Experimental rock
who are the colorado representatives?,Wayne Allard,Wayne Allard
which country does greenland belong to?,North America,Denmark
what the zip code for seattle washington?,98109,98109
who is willow smith mom name?,Jada Pinkett Smith,Jada Pinkett Smith
what do you call the chinese writing system?,Traditional Chinese characters,Standard Mandarin
who played on the jeffersons?,Isabel Sanford,Isabel Sanford
what is the name of the san francisco newspaper?,The San Francisco Examiner,The San Francisco Examiner
what made the soviet union fall?,Alexei Negmatov,Cold War
what continent does armenia belong to?,Eurasia,Eurasia
what did randy savage died of?,Myocardial infarction,Myocardial infarction
what was the title of the book charles darwin wrote?,On evolution,The Structure and Distribution of Coral Reefs
where did richard nixon die?,New York City,New York City
what songs does smokey robinson sing?,Being With You,Being With You
who was vice president when jfk was president?,Lyndon B. Johnson,Lyndon B. Johnson
what is serbian language called?,Serbian language,Serbian language
what language is spoken in haiti today?,French Language,French Language
what are the names of the city states in ancient greece?,Europe,Athens
who played barbara gordon batgirl?,Alicia Silverstone,Alicia Silverstone
what basketball teams has shaq played for?,1992–93 NBA season,Boston Celtics
where is jay leno from?,New Rochelle,New Rochelle
what language do people from thailand speak?,Mon Language,Mon Language
who did armie hammer play in the social network?,Jesse Eisenberg,Jesse Eisenberg
what was thomas jefferson role in the declaration of independence?,Virginia,Writer
what was the book written by charles darwin?,The Structure and Distribution of Coral Reefs,The Structure and Distribution of Coral Reefs
who did tim tebow play college football for?,University of Florida,University of Florida
who does peyton manning play football for?,Denver Broncos,Denver Broncos
where is the carpathian mountain range located?,Ukraine,Ukraine
what was robert burns?,Poet,Poet
what did anton van leeuwenhoek contribute to our knowledge of cells?,microscope first used by anton van leeuwenhoek,microscope first used by anton van leeuwenhoek
who did the voice of darth vader in episode 3?,David Prowse,Hayden Christensen
what super bowl did peyton manning win?,2006 NFL season,2006 NFL season
which country was justin bieber born in?,London,Canada
where are yamaha outboard motors manufactured?,Shizuoka Prefecture,Shizuoka Prefecture
who fought in the gulf war 1991?,Saudi Arabia,Saudi Arabia
who plays london tipton in suite life on deck?,Brenda Song,Brenda Song
what was the ancient chinese writing system?,Traditional Chinese characters,Sino-Tibetan languages
what team did david beckham play for in 2011?,Midfielder,LA Galaxy
where did francisco coronado come from?,Salamanca,Salamanca
what all does google now do?,Stanford University,Google Maps
what language does egyptian people speak?,Arabic Language,Modern Standard Arabic
what are abraham sons names?,Zimran,Zimran
who wrote the jana gana mana?,Ram Singh Thakur,Ram Singh Thakur
what type of cancer did gilda radner die of?,Ovarian cancer,Ovarian cancer
who plays juni cortez?,Daryl Sabara,Daryl Sabara
what was lucille ball?,Singer,Singer
who did carrie ann inaba get engaged to?,Jesse Sloan,Jesse Sloan
who inspired obama?,Saul Alinsky,Saul Alinsky
who is michael j fox wife?,Tracy Pollan,Tracy Pollan
where did dolly parton grow up?,Sevierville,Tennessee
what type of books did agatha christie wrote?,Crime writer,Crime writer
who is the woman that john edwards had an affair with?,Rielle Hunter,Rielle Hunter
what is jimi hendrix purple haze about?,guitar,Drug overdose
where can i go running in sacramento?,Sacramento Zoo,Boulevard Park
what are the four main languages spoken in spain?,Spanish Language,Basque Language
where is the nra headquarters located?,Fairfax,Fairfax
what is the song anna kendrick sings in pitch perfect?,Cups,Cups
who is gimli's father in the hobbit?,Gloin,Gloin
who developed the tcp ip reference model?,Robert E. Kahn,Robert E. Kahn
who led the campaign in the shenandoah valley?,Jackson's Valley Campaign,Jackson's Valley Campaign
who founded the pittsburgh steelers in 1933?,Rooney family,Rooney family
what college did albert einstein go to?,University of Zurich,University of Zurich
what team does jordan own?,North Carolina Tar Heels men's basketball,Jordan national football team
who is the state governor of tennessee?,Bill Haslam,Bill Haslam
who is eli whitney and what did he invent?,Engineer,Cotton gin
what do portuguese people speak?,Brazil,Portuguese
what language does cuba speak?,Spanish Language,Spanish Language
where did aaron rodgers go to high school?,Pleasant Valley High School,Pleasant Valley High School
where herman cain stance on the issues?,"Herman Cain presidential campaign, 2012",Évocateur: The Morton Downey Jr. Movie
what are the sights to see in madrid?,Paseo del Prado,Paseo del Prado
what instruments did louis armstrong play?,trumpet,trumpet
what year was george w bush elected?,President of the United States,"George W. Bush presidential campaign, 2000"
what time zone am i in california?,Pacific Time Zone,Pacific Time Zone
where is mission san buenaventura located?,Ventura County,Ventura County
who was the italian leader in ww1?,Benito Mussolini,Benito Mussolini
what time in hilo hawaii?,Hawaii–Aleutian Time Zone,Hawaii–Aleutian Time Zone
where did rudolf virchow conduct his research?,Physician,Humboldt University of Berlin
what university did gordon brown attend?,University of Edinburgh,University of Edinburgh
what countries does greece share borders with?,Turkey,Turkey
what year did the seahawks win the superbowl?,2006 NFL season,2006 NFL season
what did stephen hawking become famous for?,Author,Author
who plays donna noble?,Catherine Tate,Catherine Tate
what was dr seuss education?,Dartmouth College,Dartmouth College
where did queensland get its name from?,Queen Victoria,Queen Victoria
what document did james madison write?,The Federalist Papers,The Federalist Papers
what are the three official languages of belgium?,French Language,French Language
who played bilbo in lord of the rings?,Norman Bird,Norman Bird
what airport do you fly into to get to destin fl?,Northwest Florida Regional Airport,Northwest Florida Regional Airport
what do you call members of the senate?,Senator,Senator
what countries are part of the baltic?,Latvia,Latvia
what team does colin kaepernick play for?,San Francisco 49ers,San Francisco 49ers
where did joe flacco attend college?,University of Delaware,University of Delaware
who is emma stone father?,Jeff Stone,Jeff Stone
where was theodore roosevelt buried?,Youngs Memorial Cemetery,Youngs Memorial Cemetery
who was the leader of the us during wwii?,New York,Gerald Ford
what artistic movement did henri matisse belong to?,Fauvism,Fauvism
where the missouri river ends?,Mississippi River,Mississippi River
what type of currency do they use in thailand?,Thai baht,Thai baht
who is khloe kardashian's husband?,Lamar Odom,Lamar Odom
what years did romney serve as governor?,Bain Capital,1/2/2003
what state does romney live in?,Detroit,Massachusetts
what type of government does france use?,Constitutional republic,Semi-presidential system
who rules denmark right now?,Helle Thorning-Schmidt,Helle Thorning-Schmidt
what did stephen hawking study?,Physics,Physics
where did bristol palin go to school?,Wasilla High School,Wasilla High School
what region of the world is egypt associated with?,Middle East,Middle East
what did dr. seuss do?,Fox in Socks,Writer
where did drew brees go to college wikianswers?,Purdue University,Purdue University
what are republicans views on health care?,Zachariah Chandler,20003
what school did ben roethlisberger go to?,Miami University,Miami University
where did the iroquois indians come from?,Québec,Québec
what kind of guitar did george harrison use?,Fender Stratocaster,Fender Stratocaster
what language do navajo people speak?,Spanish Language,Spanish Language
what places make up new england?,Maine,Maine
what are the landlocked countries in latin america?,Western Hemisphere,Bolivia
what type of government does iraq have now?,Parliamentary system,Parliamentary system
where was the vietnam war location?,South Vietnam,South Vietnam
who did gerald ford select as his vice president when he became president?,Nelson Rockefeller,Nelson Rockefeller
what is the currency used in italy?,Euro,Euro
who is jamie little engaged to?,Cody Selman,Cody Selman
what is the capital of modern egypt?,Cairo,Cairo
what school did sir ernest rutherford go to?,"Trinity College, Cambridge","Trinity College, Cambridge"
what position does brandon roy play?,Point guard,Point guard
where is harvard university?,Massachusetts,Massachusetts
what does janelle brown work?,Singer,Actor
where is laos in world map?,Cambodia,Cambodia
where is tyrese gibson from?,Watts,Watts
what countries are near italy?,Switzerland,Switzerland
which states does the colorado river run through?,Utah,Utah
who did scarlett johansson date?,Justin Timberlake,Justin Timberlake
which continents were part of the roman empire?,Europe,Europe
where was elvis costello born?,Paddington,Paddington
where are the gobi desert located on a map?,Mongolia,Mongolia
what type of government does the us follow?,Presidential system,Presidential system
in which continent is germany?,Europe,Europe
when did the wright brothers created their first plane?,1900 Wright Glider,1900 Wright Glider
what language turkey people speak?,Turkish Language,Turkish Language
who does jeremy lin play for?,Houston Rockets,Houston Rockets
where is the seychelles on world map?,Africa,Africa
what is the average temperature in phoenix az in december?,Mountain Time Zone,Phoenix should not be contained in Maricopa County.
where did william morris go to college?,Marlborough College,Marlborough College
what state is mount st. helens in?,Skamania County,Washington
who is jimmy savile?,Presenter,Presenter
where were the seneca indians located?,New York,New York
what is william taft known for?,Theodore Roosevelt,President of the United States
what state is washington d.c. located?,Maryland,Washington
where to exchange euros in new york city?,New York,John F. Kennedy International Airport
when did florida marlins join mlb?,1993 Major League Baseball Season,1993 Major League Baseball Season
what countries have spanish as the national language?,Honduras,Spain
what to see in phoenix arizona?,Grand Canyon,Grand Canyon
what countries does the panama canal go through?,Costa Rica,Panama Canal Zone
what is charlie chaplin famous for?,Comedian,Comedian
who did paul revere marry?,Sarah Revere,Sarah Revere
what did fred durst do?,Musician,Musician
who did the chargers draft in 2011?,Frank Summers,Frank Summers
where do american bulldogs originate from?,United States of America,United States of America
what colleges did albert einstein teach at?,University of Zurich,"School of Mathematics, Institute for Advanced Study"
who plays the voice of brian on family guy?,Seth MacFarlane,Seth MacFarlane
what make of bike did steve mcqueen ride in the great escape?,Yucatan,Yucatan
where did george w bush live as a child?,New Haven,New Haven
which dawkins book to read first?,The Selfish Gene,The Selfish Gene
what year was the first miss america pageant held?,Miss America 1921,1930 Miss America
what was nikola tesla inventions?,Tesla coil,Tesla coil
where did flemish people come from?,Belgium,Belgium
what state new york city belong to?,Johann Williams Farm,New York
what was the cause of death for bruce lee?,Cerebral edema,Cerebral edema
what type of government does usa follow?,Presidential system,Federal republic
what type of currency do they use in england?,UK £,UK £
where was benjamin franklin educated?,Boston Latin School,Boston Latin School
what countries included in the uk?,Wales,Scotland
what countries in the world speak chinese?,Standard Mandarin,Canada
where obama went to school?,Political Science,Occidental College
what is the primary language of china?,Chinese language,Standard Mandarin
who was the soviet leader during world war ii?,Joseph Stalin,Alexei Negmatov
which of the following does australia export the most?,Energy,Energy
where was david berkowitz arrested?,New York City,New York City
where was the city of david?,Milwaukee,Bethlehem
what is cindy sherman known for?,Photographer,Photographer
what tv shows did shawnee smith play in?,Anger Management,Anger Management
what are aristotle's contributions to science?,Politics,Politics
what does australia use for currency?,Australian dollar,Australian dollar
which airport to fly into rome?,Ciampino – G.B. Pastine International Airport,Ciampino – G.B. Pastine International Airport
what is there to do for fun in kansas city?,Kemper Arena,Kemper Arena
where was martin luther king jr raised?,Atlanta,Atlanta
what year was lebron james rookie season?,2003–04 NBA season,2003–04 NBA season
where does delaware river start?,West Branch Delaware River,West Branch Delaware River
what kind of monarchy does japan have?,Parliamentary system,Constitutional monarchy
where did mitt romney's parents come from?,Detroit,Bloomfield Hills
what places in japan were bombed?,Yellow Sea,Hiroshima Prefecture
when did michael jordan return to the nba?,2001–02 NBA season,2001–02 NBA season
what type of economy exists in china?,Socialist state,Socialist state
what is the currency in egypt 2012?,Egyptian pound,Egyptian pound
where was mission san rafael located?,California,California
who was esther's husband?,Writer,Susa
who's dating claire danes?,Hugh Dancy,Hugh Dancy
what county is st paul va in?,United States of America,United States of America
what produce does florida export?,North American Eastern Time Zone,Orange juice
what type of sports do japanese play?,Japan national football team,Japan national football team
which countries share a border with russia?,Ukraine,Ukraine
what did drita find out?,Football Superleague of Kosovo,Football Superleague of Kosovo
where did the latin language originate from?,Italic languages,Italic languages
when does the mayan calendar end exactly?,The End Of Time,2012
what school did karl benz go to?,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology
what movies has carmen electra been in?,The Mating Habits of the Earthbound Human,The Mating Habits of the Earthbound Human
when does jewish new year start?,Yiddish Language,Yiddish Language
when do world war ii end?,1942,1942
what do christians believe about heaven hell and purgatory?,Greek Evangelical Church,Greek Evangelical Church
where did morgan freeman graduate?,Jackson State University,Jackson State University
who did queen elizabeth 1 executed?,queen elizabeth i of england she executed mary queen of scots,queen elizabeth i of england she executed mary queen of scots
where is arabic most spoken?,Saudi Arabia,Saudi Arabia
who was carolus linnaeus?,Botanist,Botanist
what type of government does germany have now?,Constitutional republic,Constitutional republic
what kind of government does libya have today?,Provisional government,Provisional government
what time zone is anaheim california?,Pacific Time Zone,Pacific Time Zone
what year did the orioles go to the world series?,1983 World Series,1983 World Series
what would ap xin zhao do?,Male,Male
who is sir francis bacon?,Spy,Philosopher
what were amelia earhart's achievements?,Writer,Writer
what are the official colors of the dallas cowboys?,Blue,Blue
where did margaret hoover go to college?,Davidson College,Davidson College
what is jamie oliver children names?,Petal Blossom Rainbow Oliver,Petal Blossom Rainbow Oliver
where does bradley walsh live?,England,England
who is the head coach of inter milan?,Andrea Stramaccioni,Andrea Stramaccioni
where does the shannon river start and end?,Shannon Estuary,Shannon Pot
who did reese witherspoon get married to?,Ryan Phillippe,Ryan Phillippe
where did dutch language come from?,Europeans,Europeans
what kind of money should i take to costa rica?,Costa Rican colón,Costa Rican colón
where is the ufc headquarters?,Las Vegas,Las Vegas
who plays captain kirk in star trek?,Jimmy Bennett,William Shatner
who does albert pujols play for 2012?,Los Angeles Angels of Anaheim,Los Angeles Angels of Anaheim
what kind of government is sweden?,Representative democracy,Representative democracy
where was country singer george jones born?,Saratoga,Saratoga
what did shakespeare become famous for?,Poet,Poet
where does russia import from?,Uzbekistan,Uzbekistan
what is the money of switzerland called?,Swiss franc,Swiss franc
what to see near grand canyon?,Phoenix,Grand Canyon National Park Superintendent's Residence
when did the jews stop making animal sacrifices?,Yiddish Language,Yiddish Language
what do people in australia speak?,Lojban,Lojban
what has ian somerhalder acted in?,The Rules of Attraction,Smallville
what movies did ron howard director?,Return to Mayberry,How the Grinch Stole Christmas!
what role did alexander hamilton play in the constitution?,Financier,Financier
who is shakira married to?,Gerard Piqué,Gerard Piqué
what did gerald r ford die from?,Cardiovascular disease,Cardiovascular disease
what two continents is turkey on?,Europe,Europe
where did kevin love go to college?,"University of California, Los Angeles","University of California, Los Angeles"
what type of government was formed when italy unified?,Constitutional republic,Parliamentary republic
what was the ancient egyptians spoken language?,Egyptian Arabic,Egyptian Arabic
where was the temple of karnak built?,Egypt,Egypt
who is the senior senator of louisiana?,Mary Landrieu,Mary Landrieu
what movies did morgan freeman star in?,10 Items or Less,10 Items or Less
who did john kennedy have affairs with?,Jacqueline Kennedy Onassis,william averell harriman appointed by john fitzgerald kennedy
what type of money to take to cuba?,Cuban peso,Cuban peso
what currency should you take to morocco?,Moroccan dirham,Moroccan dirham
who is mary mcleod bethune for kids?,Educator,Educator
what do they call money in japan?,Japanese yen,Japanese yen
what nationality is mother teresa?,India,India
who is richard pryor son?,Franklin Pryor,Franklin Pryor
what countries share borders with spain?,Perejil Island,Perejil Island
what countries have english as their official language?,Canada,Canada
what international organizations is china part of?,United Nations,United Nations
what county is west st paul in?,Dakota County,Dakota County
what college did magic johnson play for?,Michigan State University,Michigan State University
who does donnie wahlberg play in the sixth sense?,Vincent Grey,Vincent Grey
what did baron de montesquie influence?,charles-louis de secondat montesquieu influenced edward gibbon,charles-louis de secondat montesquieu influenced edward gibbon
what do australians call bigfoot?,Waleed Aly,Waleed Aly
who did carlos boozer play for?,Utah Jazz,Utah Jazz
what countries share a land border with indonesia?,Australia,Australia
who owns the portland press herald?,"Blethen Maine Newspapers, Inc.","Blethen Maine Newspapers, Inc."
what did albert speer design?,Deutsches Stadion,Deutsches Stadion
who does jordan palmer play for?,Jacksonville Jaguars,Jacksonville Jaguars
what art movement did leonardo da vinci belong to?,High Renaissance,High Renaissance
what time does american horror story air?,Why Race Mattered in Barack Obama's Re-election,Tom Selleck
what airport is near arlington tx?,Arlington Municipal Airport,Arlington Municipal Airport
who did vasco de gama explore for?,Portugal,Portugal
what type of government does the us constitution set up?,Presidential system,Presidential system
what team does heskey play for?,Newcastle Jets FC,Newcastle Jets FC
where did emperor hirohito live?,Japan,Japan
what to do and see in vienna austria?,"Belvedere, Vienna","Belvedere, Vienna"
when did conflict start in ireland?,Viking invasion of Ireland,Viking invasion of Ireland
when did the lakers 3 peat?,Dwight Howard,2000
what bible do catholics follow?,Book of Nehemiah,Book of Nehemiah
what is there to do in peoria illinois?,Peoria Zoo,Peoria Zoo
what language do british speak?,Scottish Gaelic language,Scottish Gaelic language
what makes elvis presley famous?,Singer,Singer
what high school did lil wayne graduate from?,Mcmain Magnet Secondary School,Mcmain Magnet Secondary School
