告诉我高等院校素质教育“十二五”规划教材的名字是什么？	高等院校素质教育“十二五”规划教材	书名	职场博弈素质培养	高等院校素质教育“十二五”规划,材
彼岸之界小说进度到哪里了？	彼岸之界	小说进度	情节展开	彼岸之界小说
电视剧红楼梦的导演是谁呀？	红楼梦	导演	李少红	电,剧红楼梦
动物地鸠属是属于什么目呀？	地鸠属	目	今颚总目(neognathae)	动物地鸠
我想知道做焖子都需要什么食材？	焖子	主要食材	地瓜淀粉 精瘦肉	做焖子
你知道在水一方是什么音乐风格吗？	在水一方	音乐风格	流行	在水,方
开心宝贝之开心星星球这部动画片是开心宝贝哪个系列的？	开心宝贝之开心星星球	系列	开心宝贝第五部	开心宝贝之开心星星球,开心宝贝
告诉我喜欢你这首歌曲有多长时间？	喜欢你	歌曲时长	03：59	我,喜欢你
线性代数编写用了多少字？	线性代数	字数	246千字	线性代数编写
定春之个玩具的地位是什么啊？	定春	地位	动漫《银魂》中的吉祥物	定春之个玩具
我想知道在小行星分类的分类中司音星属于什么类型？	司音星	小行星分类	main belt小行星带	小,司音星
大明星杨幂工作室是属于什么公司？	杨幂工作室	所属公司	嘉行天下	大明星杨幂工作室
卡通测试应用程序的版本是多少啊？	卡通测试	应用版本	1	卡通测试应用程序
你知道白沙镇火车站叫什么名字吗？	白沙镇	火车站	郑州市新东站	白沙镇火车站
你知道电视埋伏的类型是什么嘛？	埋伏	类 型	爱情,战争	电视埋伏
我想知道永安镇机场叫什么名字？	永安镇	机场	徐州观音机场	永安镇机场
上卫 u−b 色指数是多少啊？	上卫	u−b 色指数	0.11[1][2]	上卫u−b
你知道游戏dota有什么特色嘛？	dota	特色	游戏的战术多变	游戏dota
ultrapixel这个产品的发布时间爱你是什么时候啊？	ultrapixel	发布时间	2013年2月19日	ultrapixel,爱
你知道圣保罗市什么大区的吗/	圣保罗	大区	东南	圣保罗市
干扰的学科属于什么系统的？	干扰	学科	系统学	干扰的学科
第2次田中角荣内阁的假名是什么啊？	第2次田中角荣内阁	假名	だいにじたなかかくえいだいにじかいぞうないかく	第,次,田中角荣内阁
万能307焊条是什么样的焊条？	万能307焊条	概述	通用的焊条	万能307,条
你知道著名的罗德里格斯兄弟赛道有多长吗？	罗德里格斯兄弟赛道	长度	4.484千米（2.786英里）	著名的罗德里格斯兄弟赛
地下铁公司是那个？	地下铁	公司	emi virgin	地下铁公司
有关中共习水县纪委中共习水县委组织部关于严肃查处党员和干部参与赌博的通知是谁发布的？	中共习水县纪委中共习水县委组织部关于严肃查处党员和干部参与赌博的通知	发布单位	中共习水县纪委 委组织部	有关中共习水县纪委中共习水县委组织部关于严肃查处党员和干部参与赌博的通知
王涛俱乐部资料的信息？	王涛	俱乐部资料	无	王涛俱乐部,料
