有一个叫做疯狂坦克的游戏是什么类型的啊？	疯狂坦克	游戏类型	射击小游戏	叫做疯狂坦克
电视剧红楼梦的导演是谁呀？	红楼梦	导演	李少红	电,红楼梦
动物地鸠属是属于什么目呀？	地鸠属	目	今颚总目(neognathae)	动物地鸠
我想知道做焖子都需要什么食材？	焖子	主要食材	地瓜淀粉 精瘦肉	做,焖子
陈俊的信仰是什么啊？	陈军	信仰	共产主义	陈俊
你知道中国联合协会有什么作用吗？	中国联合商务协会	作用	组织中国品牌参加国际扩张活动	中国联合协会
苦练的色彩是什么样子的？	苦恋	色彩	黑白	苦练
西山大学是在什么时候建立啊？	山西大学	创建时间	1955年	西山大学
八哥这种鸟是什么亚目的啊？	巴哥	亚目	裂脚亚目	八哥
龙权镇的下辖地区是什么啊？	龙泉镇	下辖地区	辖15个村委会	龙权镇
你知道天卫星的离心率是多大吗？	天卫四	离心率	0.0014	天卫星
你知道水星的轨道倾角是有多大吗？	木星	轨道倾角	1.30530度	水星
我想知道在小行星分类的分类中司音星属于什么类型？	司音星	小行星分类	main belt小行星带	小,司音星
大明星杨幂工作室是属于什么公司？	杨幂工作室	所属公司	嘉行天下	大明星杨幂工作室
卡通测试应用程序的版本是多少啊？	卡通测试	应用版本	1	卡通测试应用程序
泡泡小兵中文版的游戏目标是什么？	跑跑小兵中文版	游戏目标	帮助士兵躲避炮弹，挑战更高的分数。	泡泡小兵中文版
你知道白沙镇火车站叫什么名字吗？	白沙镇	火车站	郑州市新东站	白沙镇火车站
安德拉邦是在什么时候建立的？	安得拉邦	建立时间	1953年10月1日（61年前）	安德拉邦
你知道史蒂芬霍金的配偶是谁吗？	史蒂芬·霍金	配偶	洁恩·怀尔德（英语：jane wilde）(m. 1965–1991) 伊莲·梅森（英语：elaine mason）(m. 1995–2006)	史蒂芬霍金
你知道电视埋伏的类型是什么嘛？	埋伏	类 型	爱情,战争	电视埋伏
我想知道永安镇机场叫什么名字？	永安镇	机场	徐州观音机场	永安镇机场
上卫自己绕行是什么路线?	上卫	自行 (μ)	赤经：9 mas/yr 赤纬：- mas/yr	上卫自己绕行
你知道游戏dota有什么特色嘛？	dota	特色	游戏的战术多变	游戏dota
你知道彭州市人名医院的员工数有多少吗？	彭州市人民医院	员工人数	916	彭州市人名医院
你知道圣保罗市什么大区的吗/	圣保罗	大区	东南	圣保罗市
为笔记这个软件名称是什么啊？	微笔记	软件名称	微笔记	为笔记
好搜百度的网站类型是什么啊？	好搜百科	网站类型	百科	好搜百度
五家寨村四属于什么管辖的范围啊？	五家寨村	隶属于	竹基乡六丘村委会	五家寨村四
干扰的学科属于什么系统的？	干扰	学科	系统学	干扰的
土木基础的创刊时间是什么时候啊？	土工基础	创刊时间	1981年	土木基础
心中是楼盘ⅱ是什么语种啊？	新中式楼盘ⅱ	语种	中英文	心中是楼盘ⅱ
田园村用平文式罗马字应该怎么写啊？	田原村	平文式罗马字	tawaramura	田园村
你知道著名的罗德里格斯兄弟赛道有多长吗？	罗德里格斯兄弟赛道	长度	4.484千米（2.786英里）	著,的,罗德里格斯兄弟赛道
地下铁公司是那个？	地下铁	公司	emi virgin	地下铁公司
安倍定则是时提出的啊？	安培定则	提出者	安德烈·玛丽·安培	安倍定则
有关中共习水县纪委中共习水县委组织部关于严肃查处党员和干部参与赌博的通知是谁发布的？	中共习水县纪委中共习水县委组织部关于严肃查处党员和干部参与赌博的通知	发布单位	中共习水县纪委 委组织部	有关中共习水县纪委中共习水县委组织部关于严肃查处党员和干部参与赌博的通知
王涛俱乐部资料的信息？	王涛	俱乐部资料	无	王涛俱乐部
浦城县博物馆在什么地方？	蒲城县博物馆	地址	蒲城县红旗街14号	浦城县博物馆
三度仿生美鼻术的理念是什么？	3度仿生美鼻术	理念	3°唯美设计	三度仿生美鼻术
优质饲草青贮饲料的研究的书叫什么名字啊？	优质饲草青贮饲料的研究	书 名	优质饲草青贮饲料的研究	优质饲草青贮饲料,究
我想知道国民会议的结构是什么样子的？	国民议会	结构	200	国民会议
别了疯了的发行地区是什么地方？	别了疯子	发行地区	中国	别了疯了
100位为新中国成立作出突出贡献的英雄模范人物的这本书是什么单位？	100位为新中国成立作出突出贡献的英雄模范人物	单位	册	100位为新中国成立作出突出贡献的英雄模范人物的
你知道电子科技大学学校的具体位置是在什么地方吗？	电子科技大学	学校地址	四川省成都市高新区（西区）西源大道2006号	电子科技大学学校
证劵交易命题点解读与模拟试卷的版次是第几啊？	证券交易命题点解读与模拟试卷	版 次	1	证劵交易命题点解读与模拟试卷
小学教学参考书的出版地是什么地方？	小学教学参考	出版地	广西 南宁	小学教学参考书
你知道直笛与双肩带书包是谁写的吗？	直笛与双背带书包	原作者	东屋美美	直笛与双肩带书包
你知道前请门内的同意书号是多少吗？	乾清门内	统一书号	10303-62	前请门内
羟甲基纤维素该怎么识别？	羧甲基纤维素	识别	9000-11-7	羟甲基纤维素
托马什·贝鲁奇在什么地方居住？	托马斯·贝鲁奇	居住地	巴西圣保罗	托马什·贝鲁奇
阿苏希尔达高足球俱乐部的联赛级别是什么？	阿苏尔希达高足球俱乐部	联赛级别	墨乙春	阿苏希尔达高足球俱乐部
欧歌a4的机箱类型是什么啊？	鸥歌a4	机箱类型	台式机箱（中塔）	欧歌a4
钨丝熔点是多少？	钨	熔点	3410±20℃	钨丝
山东寺的俗称是什么啊？	东山寺	俗称	兵营庵	山东寺
nxv重机枪的口径是多大？	nsv重机枪	口径	12.7mm	nxv重机枪
王连英是什么学位的人啊？	王莲英	学位	历史学博士	王连英
苯膦酸氨氯地平通用名是什么啊？	苯磷酸氨氯地平	通用名	苯磺酸氨氯地平片	苯膦酸氨氯地平
你知道斯兰洛特有什么称号吗？	兰斯洛特	称号	湖上骑士、圆桌第一骑士	斯兰洛特
你知道上错花轿：霸道将军不好惹这个小说是什么类型吗？	错上花轿：霸道将军不好惹	小说类型	宫廷贵族	上错花轿：霸道将军不好惹
不良少年少轻狂的总点击量是多少？	不良之年少轻狂	总点击	40704260（截止2014年3月30日）	不良少年少轻狂
你知道埃德政府是什么名字吗？	埃德	政府	sonja edvardsen（工党）	埃德政府
四川申教育厅关于遴选中等职业教育专家人才的通知是什么地方通知的啊？	四川省教育厅关于遴选中等职业教育专家人才的通知	发文单位	四川省教育厅	四川申教育厅关于遴选中等职业教育专家人才的通知
棋牌游戏平台是什么类型的游戏啊？	棋牌游戏平台	代表	面对面，秦人游	棋牌游戏,台
你知道休斯顿火箭队获得过什么荣誉吗？	休斯敦火箭队	获得荣誉	1993-1994赛季nba总冠军，1994-1995赛季nba总冠军	休斯顿火箭队
白实站是属于什么地方管辖的啊？	白石站	所属业者	北海道旅客铁道（jr北海道）	白实站
2015年是什么年份？	2015	年份	2015年	2015年
你知道trojan/startpage.aew 病毒是多长的吗？	trojan/startpage.aew	病毒长度	803915字节	trojan/startpage.aew病毒
你知道南坪战有多少个站台啊？	南坪站	站台数目	1个	南坪战
你知道自制的豆腐炖鱼是什么工艺吗？	自制豆腐炖鱼	制作工艺	煮	自制的豆腐炖鱼
teddydoy的主编是谁吗？	teddyboy	主编	牛佬（文启明）	teddydoy
我想知道台州欧亿洁具有限公司的生产方式是什么啊？	台州市欧亿洁具有限公司	经营模式	生产加工	台州欧亿洁具有限公司
你知道调戏怎么解释吗？	戏调	词语解释	诙谐；开玩笑	调戏
我想知道湖南辉城是什么时候开始流行的叫法啊？	湖南辉程	源于	2003年	湖南辉城
你知道决心级核心动力弹道导弹潜艇是什么国家制造的啊？	决心级核动力弹道导弹潜艇	国别	英国	决心级核心动力弹道导弹潜艇
你知道澳门巴士apl路线的运营时间吗？	澳门巴士ap1路线	服务资讯	平日06:30-00:20 例假日06:30-00:18	澳门巴士apl路线
你知道单佛的人口密度是多大吗？	丹佛	人口密度	1405人/平方千米	单佛
你知道这本书偶发空缺的出版者是什么公司吗？	偶发空缺	出版者	皇冠文化（香港）、人民文学出版社（中国大陆）	这,书偶发空缺
你知道有什么正义之战吗？	正义战争	举例	美国独立战争，抗日战争	正义之战
你知道每年什么时候大寒吗？	大寒	时间	每年1月20日或21日	每,大寒
你知道台北市建国高级中学有多少个年级？	台北市立建国高级中学	年级	高一到高三（含特殊班级共90班）[1]	台北市建国高级中学
我想知道远洋通州市什么公司的啊？	远洋通州	开 发 商	远洋地产有限公司	远洋通州市
我想知道官方语言是什么？	日本	官方语言	日语[2]	官
bla4都有什么节目啊？	b1a4	电视节目	《mtv match up》（with block b）（2011年） 《mtv special b1a4自拍日记》（2012年） 《b1a4的sesame player》（2012年） 《mtv b1a4 hotline》（2012年） 《b1a4的hello baby》（2012年） 《mnet wide b1a4艺能体育场》（2013年） 《mtv b1a4 hotline 2》（2013年） 《b1a4美好的一天》（2014年） 《niconama和b1a4一起》（2014-2015年）	bla4
你知道htc 野火s(a510e)电信版有多重吗？	htc 野火s(a510e)电信版	手机重量	105g	htc野火s(a510e),版
你知道和城关镇的兄弟城市是什么吗？	城关镇	友好城市	信阳市	和城关镇
我想问问超频三水晶f-1261的散热是什么方式的啊？	超频三水晶f-126l	散热方式	风冷	超频三水晶f-1261
你知道爱斯基地的背景吗？	爱司基地	背景资料	瑞典哥德堡	爱斯基地
你知道断骨有什么严重的影响吗？	断股	危害	影响线路安全，威胁通信可靠	断骨
你知道日本翅鲨的是属于什么类型的吗？	日本翅鲨	中文目名	真鲨目	日本翅鲨的
你知道英格林冰场是什么时候开始建造吗？	英格斯冰场	动工	1953年	英格林冰场
你知道哦异世催眠师是什么类型吗？	异世催眠师	作品类别	穿越异世	哦异世催眠师
你知道兰花炭疽病危害的作物是什么吗？	兰花炭疽病	主要危害作物	兰花	兰花炭疽病危害
我是山主是否完结吗啊？	我是山主	发布状态	连载中	我,山主
你知道地球内部的压强是属于什么领域吗？	地球内部压强	所属领域	地理	地球内部的压强
你知道辛夷花粥管治疗什么吗？	辛夷花粥	适应症	适用于外感风寒所致的鼻塞头痛	辛夷花粥管
你知道白色百合在什么地方长着吗？	白百合	分布区域	巴尔干半岛与西亚	白色百合
你知道小说替身情人是在什么网上发布的？	替身情人	首发	磨铁中文网	小说替身情人
你知道黑原粗角肖叶甲是多长吗？	黑缘粗角肖叶甲	体长	5～5．5mm	黑原粗角肖叶甲
你知道绿茶控痘祛痘面膜贴的保质期吗啊？	绿茶控油祛痘面膜贴	保质期	三年适宜人群	绿茶控痘祛痘面膜贴
你知道深证的市花是什么吗？	深圳	市花	三角梅（簕杜鹃）	深证
你知道邪神dreadroot（恐惧之根源）的罕贵度是什么啊？	邪神dreadroot(恐惧之根源)	罕贵度	金字ur	邪神dreadroot（恐惧之根源）
你知道电影圈套一共有多少部吗？	圈套	电影	4部	电影圈套
鉴于风云的imdb评分是多少啊？	监狱风云	imdb评分	9	鉴于,风云
你知道元史词典是谁写的啊?	元史辞典	作  者	邱树森 编	元史词典
