question,entity,attribute,answer,predict_answer
城关镇的中文名是什么啊？,城关镇,中文名称,城关镇,城关镇[临澧县]
你知道斐迪南一世的是什么时候去世的吗？,斐迪南一世,逝世日期,1948年9月10日,"1927年7月20日（61岁） 锡纳亚, 罗马尼亚王国"
你知道圣地亚哥的英文名字是什么吗？,圣地亚哥,外文名称,santiago de veraguas,saint jakob
平壤之战是那一年打起来的？,平壤之战,时间,明万历二十一年 （ 1593 ）,中国；日本
动物地鸠属是属于什么目呀？,地鸠属,目,今颚总目(neognathae),娃娃的礼物
我想知道王强是什么学校毕业的？,王强,毕业院校,湖北音乐学院,第二军医大学
龙泉镇是在中国的什么地方啊？,龙泉镇,所属地区,中国 四川,龙泉镇[四川省成都市龙泉驿区]
我想知道文峰塔是在什么地方的？,文峰塔,位置,甘肃省陇西县文峰镇迎春堡村,天马镇南部的文笔峰（塔山）之巅
第十二夜这部片子要演多久呀？,第十二夜,片长,155 min,frances barber
哈姆雷特这个剧是谁导演的？,《哈姆雷特》,导演,佛朗哥·泽菲雷里,米歇尔·阿米瑞亚德
你怎知道父亲这本书是什么语言著作的吗？,《父亲》,语言版本,波斯语,台湾每年的8月8日
恒大金碧天下是什么样子的房子啊？,恒大金碧天下,物业类别,别墅,联排 独栋 双拼
关帝庙是在什么地方的庙宇？,关帝庙,定义,山西省阳泉市庙宇,山东省汶上县
诺基亚的这款lumia 1020 的手机屏幕是多大尺寸的？,诺基亚lumia 1020,尺寸,4.5英寸,3英寸
你知道北京的舞蹈学院类型是什么吗？,北京舞蹈学院,学校类型,艺术类,综合
你知道索尼e17的内存是多大吗？,索尼e 17,内存容量,6gb内存类型ddr3,约140克
你知道玝这个字有几笔吗？,玝,笔画,8,4
龙权镇的下辖地区是什么啊？,龙泉镇,下辖地区,辖15个村委会,中国 四川
你知道天卫星的离心率是多大吗？,天卫四,离心率,0.0014,~39 km/s.
你知道水星的轨道倾角是有多大吗？,木星,轨道倾角,1.30530度,58.646日
属切削加工及装备的条形码是多少？,金属切削加工及装备,条形码,9.78711E+12,改变毛坯的形状、尺寸、相对位置
泡泡小兵中文版的游戏目标是什么？,跑跑小兵中文版,游戏目标,帮助士兵躲避炮弹，挑战更高的分数。,赛车竟速
柱七的赤纬是多少呢？,柱七,赤纬,+32° 11′ 31.278″,05h 32m 43.6729s
你知道白沙镇火车站叫什么名字吗？,白沙镇,火车站,郑州市新东站,赣州市章贡区五洲大道31号
恒大金碧天下是在什么地区的楼?,恒大金碧天下,城区,眉山市彭山县,恒大金碧天下
