在生物学中钩吻属属于哪个界？	钩吻属	界	动物界	钩吻
koyo h414235/10轴承的型号是什么啊？	koyo h414235/10轴承	型号	轴承	koyoh414235/10轴承
哈姆雷特这个剧是谁导演的？	《哈姆雷特》	导演	佛朗哥·泽菲雷里	哈姆雷特
你怎知道父亲这本书是什么语言著作的吗？	《父亲》	语言版本	波斯语	父亲
nintendo game cube 的上市时间是什么时候？	nintendo game cube	上市时间	日本：2001年9月14日	nintendogamecube
诺基亚的这款lumia 1020 的手机屏幕是多大尺寸的？	诺基亚lumia 1020	尺寸	4.5英寸	诺基亚
你知道北京的舞蹈学院类型是什么吗？	北京舞蹈学院	学校类型	艺术类	北京
style icon awards这个活动的主办单位是谁啊？	style icon awards	主办单位	cj e&m	styleiconawards
你知道索尼e17的内存是多大吗？	索尼e 17	内存容量	6gb内存类型ddr3	索尼e17
你知道ipad mini 2的重量有多少吗？	ipad mini 2	重量	331g	ipadmini2
2004 xp14是什么时候发现的？	2004 xp14	发现	2004年12月10日	2004xp14
驰为速pad mini v88这个东西的储存容量是多少啊？	驰为速pad mini v88	存储容量	2gb	驰为速padminiv88
请用得出造句？	得出	例句	他得出这个结论是多次考虑的结果	
你知道nexus 7 是什么操作系统吗？	nexus 7	操作系统	android 4.1	nexus7
nsk nj238+hj238轴承这个工件的轴承内径有多大？	nsk nj238+hj238轴承	内径	190 mm	nsknj238+hj238轴承
属切削加工及装备的条形码是多少？	金属切削加工及装备	条形码	9.78711E+12	属切削加工及装备
你知道acer 4735z-422g25mn的cpu型号是什么吗？	acer 4735z-422g25mn	cpu型号	intel 奔腾双核 t4200	acer4735z-422g25mn
你知道戴尔latitude e6430s-106tb这个产品的定位是什么吗？	戴尔latitude e6430s-106tb	产品定位	商用	戴尔latitudee6430s-106tb
惠普compaq 6520s(gx547pa)的cpu主频是什么型号的啊？	惠普compaq 6520s(gx547pa)	cpu主频	intel 酷睿2双核 t7250	惠普compaq6520s(gx547pa)
问问你三星galaxy round这部手机的分辨率是多少？	三星galaxy round	分辨率	1080p	三星galaxyround
七彩虹镭风x800 256m的显卡芯片是什么的？	七彩虹镭风x800 256m	显卡芯片	radeon x800	七彩虹镭风x800256m
