question,entity,attribute,answer,predict_answer
城关镇的中文名是什么啊？,城关镇,中文名称,城关镇,城关镇[临澧县]
动物地鸠属是属于什么目呀？,地鸠属,目,今颚总目(neognathae),娃娃的礼物
我想知道王强是什么学校毕业的？,王强,毕业院校,湖北音乐学院,第二军医大学
你知道万达广场的是在什么地方吗？,万达广场,地址,泉州浦西,福州
我想知道文峰塔是在什么地方的？,文峰塔,位置,甘肃省陇西县文峰镇迎春堡村,天马镇南部的文笔峰（塔山）之巅
第十二夜这部片子要演多久呀？,第十二夜,片长,155 min,1988年
哈姆雷特这个剧是谁导演的？,《哈姆雷特》,导演,佛朗哥·泽菲雷里,米歇尔·阿米瑞亚德
你怎知道父亲这本书是什么语言著作的吗？,《父亲》,语言版本,波斯语,argentina:13，chile:14，france:u
关帝庙是在什么地方的庙宇？,关帝庙,定义,山西省阳泉市庙宇,山东省汶上县
诺基亚的这款lumia 1020 的手机屏幕是多大尺寸的？,诺基亚lumia 1020,尺寸,4.5英寸,3英寸
你知道北京的舞蹈学院类型是什么吗？,北京舞蹈学院,学校类型,艺术类,综合
你知道索尼e17的内存是多大吗？,索尼e 17,内存容量,6gb内存类型ddr3,约140克
龙权镇的下辖地区是什么啊？,龙泉镇,下辖地区,辖15个村委会,中国 四川
你知道天卫星的离心率是多大吗？,天卫四,离心率,0.0014,~39 km/s.
你知道水星的轨道倾角是有多大吗？,木星,轨道倾角,1.30530度,3.3022×10^23kg
属切削加工及装备的条形码是多少？,金属切削加工及装备,条形码,9.78711E+12,改变毛坯的形状、尺寸、相对位置
泡泡小兵中文版的游戏目标是什么？,跑跑小兵中文版,游戏目标,帮助士兵躲避炮弹，挑战更高的分数。,赛车竟速
你知道白沙镇火车站叫什么名字吗？,白沙镇,火车站,郑州市新东站,赣州市章贡区五洲大道31号
你知道史蒂芬霍金的配偶是谁吗？,史蒂芬·霍金,配偶,洁恩·怀尔德（英语：jane wilde）(m. 1965–1991) 伊莲·梅森（英语：elaine mason）(m. 1995–2006),吴忠超 伯纳德·卡尔（英语：bernard carr） 克理斯托福·高发德（英语：christophe galfard） 盖瑞·纪邦斯（英语：gary gibbons） 汤玛斯‧赫涛格（英语：thomas hertog） 唐恩·佩吉（英语：don page (physicist)）
你知道彭州市人名医院的员工数有多少吗？,彭州市人民医院,员工人数,916,综合性医院
好搜百度的网站类型是什么啊？,好搜百科,网站类型,百科,9.7878E+12
心中是楼盘ⅱ是什么语种啊？,新中式楼盘ⅱ,语种,中英文,"地铁沿线,二至三环"
田园村用平文式罗马字应该怎么写啊？,田原村,平文式罗马字,tawaramura,山区
地下铁公司是那个？,地下铁,公司,emi virgin,世界各地 包括：  香港  中国大陆  英国伦敦  瑞典斯德哥尔摩 澳大利亚墨尔本 及其他
我想知道国民会议的结构是什么样子的？,国民议会,结构,200,单院制
别了疯了的发行地区是什么地方？,别了疯子,发行地区,中国,usa:pg-13 / uk:12a
你知道月光是谁作曲的吗？,月光,作词,杨瑞代,黄戚尔
全美超级模特儿新秀大赛什么时候播出啊？,全美超级模特儿新秀大赛,播映,the cw,2009年3月4日－2009年（美国）
倩女幽魂是什么公司制片的？,倩女幽魂,制片商,电影工作室 新艺城,温嘉文 钟珍 叶百全 周国忠
证劵交易命题点解读与模拟试卷的版次是第几啊？,证券交易命题点解读与模拟试卷,版 次,1,智能建筑节能分析
你知道直笛与双肩带书包是谁写的吗？,直笛与双背带书包,原作者,东屋美美,ダンタリアンの书架(ダンタリアンのしょか)（dantarian no shoka）
羟甲基纤维素该怎么识别？,羧甲基纤维素,识别,9000-11-7,c8h16nao8
阿苏希尔达高足球俱乐部的联赛级别是什么？,阿苏尔希达高足球俱乐部,联赛级别,墨乙春,阿迪达斯
黄蜂号航空母舰的技术数据是什么啊？,大黄蜂号航空母舰,技术数据,"19,900吨",防护甲板：60磅 装甲带：2.5-4吋 防水壁：4吋 指挥塔：2-4吋 舵机：4吋
欧歌a4的机箱类型是什么啊？,鸥歌a4,机箱类型,台式机箱（中塔）,立式
钨丝熔点是多少？,钨,熔点,3410±20℃,猪肉要新鲜。
山东寺的俗称是什么啊？,东山寺,俗称,兵营庵,佛教
王连英是什么学位的人啊？,王莲英,学位,历史学博士,李维怀
苯膦酸氨氯地平通用名是什么啊？,苯磷酸氨氯地平,通用名,苯磺酸氨氯地平片,四川省骨质疏凇专委会委员
你知道上错花轿：霸道将军不好惹这个小说是什么类型吗？,错上花轿：霸道将军不好惹,小说类型,宫廷贵族,wargaming
不良少年少轻狂的总点击量是多少？,不良之年少轻狂,总点击,40704260（截止2014年3月30日）,840528
你知道埃德政府是什么名字吗？,埃德,政府,sonja edvardsen（工党）,20个有野心的国王
我想知道埃迪·约翰逊是由多高啊？,埃迪·约翰逊,登录体重,180英磅（82千克）,6英尺2英寸（1.88米）
四川申教育厅关于遴选中等职业教育专家人才的通知是什么地方通知的啊？,四川省教育厅关于遴选中等职业教育专家人才的通知,发文单位,四川省教育厅,二ｏ一ｏ年三月十六日
液体刀是什么疗法啊？,液体刀,基础,药刀疗法,风湿
你知道光是谁写的词吗？,光,词曲,李圣杰,杨瑞代
航嘉巧管家ssl403 1.8米 是什么产品？,航嘉巧管家 ssl403 1.8米,产品类型,接线板,7.5小时
你知道休斯顿火箭队获得过什么荣誉吗？,休斯敦火箭队,获得荣誉,1993-1994赛季nba总冠军，1994-1995赛季nba总冠军,凯文·麦克海尔
2015年是什么年份？,2015,年份,2015年,第16届
你知道南坪战有多少个站台啊？,南坪站,站台数目,1个,岛式站台
保时捷918spyder要多少钱可以买到啊？,保时捷918 spyder,参考价格,1338.8万人民币,345km//h
你知道自制的豆腐炖鱼是什么工艺吗？,自制豆腐炖鱼,制作工艺,煮,一般
teddydoy的主编是谁吗？,teddyboy,主编,牛佬（文启明）,ron carmel 和 kyle gabler
你知道远大前程这个剧一共有多少集吗？,《远大前程》,全部集数,30集,35毫米遮幅宽银幕系统
台北联营公车218路线是在什么地方开始的？,台北联营公车218路线,路线资讯,新北投,万华
你知道调戏怎么解释吗？,戏调,词语解释,诙谐；开玩笑,李明
"你知道2-氨基-4-甲基-6-甲氧基-1,3,5-三嗪的CAS号是什么吗？","2-氨基-4-甲基-6-甲氧基-1,3,5-三嗪",cas号,1668-54-8,140.14
你知道决心级核心动力弹道导弹潜艇是什么国家制造的啊？,决心级核动力弹道导弹潜艇,国别,英国,4000海里/18节
我想知道寻秦记是什么时候上映的啊？,《寻秦记》,首播时间,2001年,阅读阁
我想知道战争汉是在什么平台？,生化战争汉,其他平台,s60v1,单机
你知道岛的外语怎么拼吗？,岛,英文,island,日版
你知道教父3：最后的教父是哪个公司出版的吗？,教父 3：最后的教父,版权,读客图书有限公司,54.0
我想知道狂犬病的潜伏期会传染吗？,狂犬病潜伏期,传染病,是,皮肤粘膜
三星e220(galaxy pop)这个手机是什么制式？,三星 e220(galaxy pop),手机制式,gsm,gsm/gprs/wcdma/edge
诺基亚6234的频率是多啊？,诺基亚 6234,频率,900/1800/1900/2100mhz,800mhz
你知道有什么正义之战吗？,正义战争,举例,美国独立战争，抗日战争,吴军获胜
你知道台北市建国高级中学有多少个年级？,台北市立建国高级中学,年级,高一到高三（含特殊班级共90班）[1],东海东、建中青年、建中人 建中学报、心泉、建人见智 建桥、建中文选、资治通建
你知道什么样子的学生才可以评英华实践奖学金吗？,北大英华实践奖学金,条件,热爱祖国 具有良好的外语水平等,北京
我想知道官方语言是什么？,日本,官方语言,日语[2],简体中文
你知道蜡笔小新 逆袭的机器人爸爸的全称吗？,蜡笔小新 逆袭的机器人爸爸,香港,蜡笔小新：大对决！机器人爸爸的反击,5.86 mb
你知道唐河在什么地方吗？,唐河,河口,河北安新县,山西浑源、灵丘、河北保定市
bla4都有什么节目啊？,b1a4,电视节目,《mtv match up》（with block b）（2011年） 《mtv special b1a4自拍日记》（2012年） 《b1a4的sesame player》（2012年） 《mtv b1a4 hotline》（2012年） 《b1a4的hello baby》（2012年） 《mnet wide b1a4艺能体育场》（2013年） 《mtv b1a4 hotline 2》（2013年） 《b1a4美好的一天》（2014年） 《niconama和b1a4一起》（2014-2015年）,立式
你知道陈杨波是什么时候开始火的吗？,陈杨波,出道地区,内地,仙女湖
我想问问超频三水晶f-1261的散热是什么方式的啊？,超频三水晶f-126l,散热方式,风冷,风扇
你知道金鹏v0009支持什么频段的吗？,金鹏 v0009,支持频段,gsm 850/900/1800/1900,110g
我问问你三星e2530手机是什么颜色的啊？,三星 e2530,机身颜色,黑色,gsm 900/1800/1900
我想知道壮族自治区烟草专卖局是什么时候组建的啊？,广西壮族自治区烟草专卖局,组建时间,1983年8月,国家利益至上、消费者利益至上
你知道大宇lm1702的分辨率吗？,大宇 lm1702,最佳分辨率,1280x1024,10/100mbps
你知道中国历代帝王传（2011版）卖多少钱啊？,中国历代帝王传（2011版）,纸书价格,27.8,2
你知道地球内部的压强是属于什么领域吗？,地球内部压强,所属领域,地理,地理，航天
我想知道微信for Windows的操作环境？,微信 for windows,环境,winxp/win2003/vista/win7/win8,西班牙语
你知道白色百合在什么地方长着吗？,白百合,分布区域,巴尔干半岛与西亚,裤子植物门
荷载频遇值这个的范围是什么啊？,荷载频遇值,2,一般在10％以内,国际标准iso2394:1998
哈苏h2f光学变焦是多少啊？,哈苏 h2f,光学变焦,0,"35mm,16mm"
你知道秦艽是什么吗？,秦艽,亚 科,龙胆亚科 subfam. gentianoideae,大花秦艽
爱其eip-4200的标准分辨率是多大啊？,爱其 eip-4200,标准分辨率,1024×768,900w
intel酷睿2双核e8500的插槽类型是什么啊？,intel 酷睿2双核 e8500（散）,插槽类型,lga 775,pbga479，ppga478
你知道邪神dreadroot（恐惧之根源）的罕贵度是什么啊？,邪神dreadroot(恐惧之根源),罕贵度,金字ur,效果怪兽
你知道台湾的电视公司的子公司是什么吗？,台湾电视公司,子公司,台视文化事业股份有限公司,台湾证券交易股份有限公司
gtf人才思维模型是谁提出的吗？,gft人才思维模型,提出人,张忆博,黔城人才网
你知道2012深圳国际服装贴牌加工博览会什么时候开始吗？,2012深圳国际服装贴牌加工（oem/odm）博览会,时 间,2012年2月21日-23日,中国深圳会展中心
你知道远大医药一共有多少资产吗？,远大医药,营收,19亿元,30亿元
烧杯的曲目多长啊？,烧坏,曲长,1分钟,小吃，面食
慧臣的最大功率是多大？,惠臣vc2800gb,最大功率,350w,僵尸
齝你知道它使用五笔怎么表示吗？,齝,五笔,hwwk,桥段
你知道创世魔法-嘟嘟魔鬼是什么时候上线的吗？,创世魔法—嘟嘟魔鬼,上线日期,2011-05-24,日本唱片公司king records
你知道三丙醇的闪亮点是什么啊？,丙三醇,闪点,177℃,上巳节
你知道人平均一下不是好的?,深圳,人均gdp,24072美元（2014年）,中视6一下
你直达号转需要多久可以转完？,希捷st32510a,转速,5400rpm,哈尔滨市
资源管理器以及学科是怎么再出来的？,资源分级管理,一级学科,资源科技,由经济与管理学院分团委直接领导
你知道仙剑五是用的什么游戏引擎吗？,仙剑奇侠传五,游戏引擎,renderware,动作 对战 英雄
斯贝s-md05的系统是多大的内村啊？,斯贝s-md05(4g),系统内存,256mb,microsoft （微软）
你知道乐亭县法院的电话吗？,乐亭县人民法院,联系电话,0315-4627616,李月臣
你知道六一女孩的海底大战是什么啊？,六一女孩之海底大战,过程,准备下深海寻宝,生来就有4只手和4条腿
