entity,attribute,answer,question
万达广场,总部地点,重庆市南岸区江南大道8号（重庆万达）/重庆市万州区北滨路（万州万达）,万达的总部在哪
郑州号导弹驱逐舰,型号,国产052c型,郑州驱逐舰型号是什么有人知道吗
《笑傲江湖》,语言版本,粤语、普通话,笑傲江湖是什么语种的电视剧
多伦多猛龙队,成立时间,1980年,我想问一下多沦落猛龙队是啥时候建立的？
梁氏起源,起源,自赢姓,梁氏从何起源？
武汉大学学报（医学版）,国际刊号,1671-8852,武汉大学学报的国际刊号是多少？
三星galaxy mega 5.8（i9158/移动版）,主屏尺寸,5.8英寸,三星galaxy mega 5.8是多大的主屏？
类胡萝卜素,识别,116-31-4,类胡萝卜识别码是多少？
海底人,种族,蛤蟆人,海地人是什么种族的？
唯瑞vewell() 82寸触摸屏v82-t17bl3（高亮度）,产品尺寸,82英寸,唯瑞vewell() 82寸触摸屏v82-t17bl3产品尺寸如何？
三星galaxy mega 5.8（i9158/移动版）,cpu频率,1741mhz,三星galaxy mega 5.8的cpu频率如何？
武汉大学学报（医学版）,主要栏目,基础医学、临床医学、经验与方法,武汉大学学报有哪些主要栏目？
格兰仕kfr-32gw/dlp45-130(2),空调匹数,：小1.5p,格兰仕kfr-32gw/dlp45-130的空调匹数是多少？
陶园梦,品质,精选最上等的高原牦牛骨粉,陶圆梦的品质如何？
hp pavilion dv2304tx(gc235pa),显示屏尺寸,intel,hp pavilion dv2304tx的显示屏是什么尺寸的？
史蒂芬·霍金,著名成就,霍金辐射 彭罗斯–霍金奇性定理（英语：penrose–hawking singularity theorems） 《时间简史：从大爆炸到黑洞》,请问史蒂芬霍金的著名成就是什么？
硫化钠,einecs登录号,215-211-5,请问einecs登录号是什么啊？
伊普利斯,装备,使你造成致命一击的几率提高1%,伊普利的装备如何？
三角函数万能公式,公式,(sinα)^2+(cosα)^2=1,三角函数的万能公式是什么？
啦啦啦德玛西亚4,站点,：4399小游戏,啦啦啦德玛西亚的站点是什么？
蛇夫座36,半径,0.817 ± 0.016/0.81/0.72 r☉,蛇夫座的半径是多少？
3·10云南盈江地震,伤亡人数,25人死亡，250多人受伤,请问3·10云南盈江地的伤亡人数是多少？
萨拉托加号航空母舰,人员编制,2122人,请问萨拉托加号航母可以载多少人呀？
吉利英伦金刚 2010款 vvt 1.5 mt 无敌版,排量,1.5l,谁能告诉我吉利英伦金刚2010款vvt1.5mt无敌版的排气量是多少？
中华人民共和国第十一届运动会,比赛项目,33个大项 362个小项,我想知道第十一届运动会有多少项目？
中华人民共和国,主要宗教,佛教，道教，伊斯兰教，天主教，基督教,请问在中国盛行哪些宗教？
罗斯福号航空母舰,舰载机,90架固定翼及直升机,你知道罗斯福号航母上的飞机是哪种吗？
苏州园林保护和管理条例（2004修订）,生效日期,2004-09-01,谁知道苏州园林保护和管理条例（2004修订是什么时候开始执行的呢？
约克城号航空母舰,除籍,1942年10月2日,啥时候把约克城号航母注销的？
安徽省财政一般性转移支付资金管理办法,印发时间,安徽省人民政府办公厅,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
埃迪森·托洛扎,2012,0,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
地理知识手册高中,下载次数,2012-09-04,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
regina电力动车组,车辆宽度,3450 mm,谁知道reina电力动车组的宽度是多少？
苹果功效,功 效,降低胆固醇，​降血压，防癌等,有人能告诉我苹果都有哪些功效吗？
